"معرف","اسم المنتج","الوصف","السعر الحالي","السعر الأصلي","رابط الصورة","رابط المنتج"
"74","جهاز ازالة الشعر بالليزر","جهاز متقدم لإزالة الشعر بتقنية الليزر الآمنة والفعّالة على جميع أنواع البشرة.
يوفر نتائج دائمة وفعّالة مع راحة كاملة وأمان مضمون.","121","131","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2FashyaatLeFyBCeG.jpg?alt=media&token=52d010c8-c561-4ae2-98a7-10758e554a40","https://sooq-jordan.arabsad.com/products/74.html"
"80","مصباح قنديل البحر المضيء","مصباح ديكوري بتصميم فريد على شكل قنديل البحر يضيء بألوان ساحرة.
يخلق أجواء هادئة وجميلة تضفي على أي غرفة لمسة سحرية مميزة.","53","63","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2FashyaatS79JhdCO.jpg?alt=media&token=d8629e22-751a-4427-a7f5-788b3bcba8f4","https://sooq-jordan.arabsad.com/products/80.html"
"87","كاميرا مراقبة صوت وصورة","كاميرا مراقبة عالية الجودة بتسجيل صوت وصورة واضحة بدقة عالية جداً.
توفر الحماية الآمنة والمراقبة المستمرة 24/7 لمنزلك وممتلكاتك.","52.3","62.3","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2FashyaatXnVfzotf.png?alt=media&token=c366ffc9-d375-4197-86b0-9d436d33bb6d","https://sooq-jordan.arabsad.com/products/87.html"
"79","ممسحة الفرشاة الأوتوماتيكية الذكية","ممسحة ذكية تقوم بالتنظيف الأوتوماتيكي بكفاءة عالية وفعّالية مثبتة.
توفر الوقت والجهد في تنظيف الأرضيات بسهولة وكفاءة عالية.","50.2","60.2","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2FashyaatwVwA4roJ.webp?alt=media&token=6d99d24c-9349-4528-9a3c-e77604dcdffa","https://sooq-jordan.arabsad.com/products/79.html"
"43","آلة ملاكمة ذكية مثبتة على الحائط","آلة ملاكمة ذكية مثبتة على الحائط بتقنية حديثة وآمنة جداً.
مثالية لممارسة التمارين الرياضية في المنزل بأمان كامل.","50","60","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2Fashyaat4irYTJre.avif?alt=media&token=0bd54a9f-e9a8-4500-a2d6-6c7672a5e2b8","https://sooq-jordan.arabsad.com/products/43.html"
"76","مكواة ومجفف ملابس الذكي","جهاز ذكي متعدد الوظائف لكي وتجفيف الملابس بسهولة وكفاءة.
يوفر الوقت والجهد ويحافظ على جودة وألوان الملابس الأصلية.","48.9","58.9","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2FashyaatuGxFdX5b.jpg?alt=media&token=d7926c38-960e-4de7-b3ff-385e9f98d1e9","https://sooq-jordan.arabsad.com/products/76.html"
"36","كاميرا مراقبة عالية الدقة","كاميرا مراقبة بدقة عالية جداً وعدسة واسعة الزاوية مميزة.
تضمن رؤية واضحة وحادة في الليل والنهار على مدار 24 ساعة.","47.5","57.5","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2FashyaatDiQSqKoD.jpg?alt=media&token=16f52b02-aaea-45c4-82f6-4c0451d83bd2","https://sooq-jordan.arabsad.com/products/36.html"
"46","كاميرا تسجيل الفيديو المحمولة","كاميرا تسجيل فيديو محمولة بجودة احترافية وخفيفة الوزن جداً.
مثالية للرحلات والفعاليات والمناسبات الخاصة والعائلية.","47.3","57.3","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2FashyaatP0W70Oh4.jpg?alt=media&token=3dbbbe54-20f1-4979-b99f-c08cd061b741","https://sooq-jordan.arabsad.com/products/46.html"
"68","محول تيار للاجهزة الذكية‎","محول تيار للاجهزة الذكية‎ - منتج عالي الجودة.
يتميز بتصميم حديث وأداء موثوق.","47.3","57.3","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2FashyaatNTwcjxc0.jpg?alt=media&token=c66208c7-4b08-428c-a734-2558e2370747","https://sooq-jordan.arabsad.com/products/68.html"
"38","قفل بصمة الإصبع الذكي","قفل ذكي بتقنية بصمة الإصبع الآمنة والموثوقة جداً والحديثة.
يوفر حماية عالية جداً وسهولة الوصول والدخول للمنزل بأمان.","46.1","56.1","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2FashyaatPtYKMiHj.jpg?alt=media&token=cf2186de-19f7-468c-b29b-5743845ad771","https://sooq-jordan.arabsad.com/products/38.html"
"85","سماعة بلوتوث لاسلكية مترجمة للصوت","سماعة بلوتوث لاسلكية مترجمة للصوت - منتج عالي الجودة.
يتميز بتصميم حديث وأداء موثوق.","45.2","55.2","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2FashyaatZuWZaVOl.jpeg?alt=media&token=d5799b8b-2b25-4df7-986c-baf9bf95bb9f","https://sooq-jordan.arabsad.com/products/85.html"
"39","كاميرا مراقبة لاسلكية شكل لمبة","كاميرا مراقبة لاسلكية شكل لمبة - منتج عالي الجودة.
يتميز بتصميم حديث وأداء موثوق.","45","55","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2Fashyaat6m0rHUuN.jpg?alt=media&token=d6a6556d-48f1-46e2-8832-596662b26df4","https://sooq-jordan.arabsad.com/products/39.html"
"62","الة ملاكمة للاطفال","الة ملاكمة للاطفال - منتج عالي الجودة.
يتميز بتصميم حديث وأداء موثوق.","41.6","51.6","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2FashyaatN7LVxV2w.webp?alt=media&token=58a6297c-ad7c-48b4-a655-80bba750e24d","https://sooq-jordan.arabsad.com/products/62.html"
"66","مكنسة كهربائية آلية لاسلكية 3 في 1","مكنسة كهربائية آلية لاسلكية 3 في 1 - منتج عالي الجودة.
يتميز بتصميم حديث وأداء موثوق.","41.6","51.6","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2FashyaatD8dAwsu8.jpg?alt=media&token=777d42f3-d04d-45ea-869a-182ec7a4a3b6","https://sooq-jordan.arabsad.com/products/66.html"
"70","فرشاة تدليك فروة الرأس","فرشاة تدليك فروة الرأس - منتج عالي الجودة.
يتميز بتصميم حديث وأداء موثوق.","41.6","51.6","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2FashyaatG2y3aPi3.jpg?alt=media&token=12977926-4682-45b1-9c47-702edf9470fb","https://sooq-jordan.arabsad.com/products/70.html"
"9","قطاعة الخضارالدوارة","قطاعة الخضارالدوارة - منتج عالي الجودة.
يتميز بتصميم حديث وأداء موثوق.","40.7","50.7","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2FashyaatzvbUqKOR.jpg?alt=media&token=fc319fd1-f6e4-4517-8972-b5cf7112a472","https://sooq-jordan.arabsad.com/products/9.html"
"65","ماكينة تشذيب الشعر الكهربائية للرجال","ماكينة تشذيب الشعر الكهربائية للرجال - منتج عالي الجودة.
يتميز بتصميم حديث وأداء موثوق.","40.5","50.5","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2FashyaatINWQeMn9.jpg?alt=media&token=95a73b11-7c40-41a0-ae57-17a0c9f7de9b","https://sooq-jordan.arabsad.com/products/65.html"
"69","جهاز تحديد المواقع","جهاز تحديد المواقع - منتج عالي الجودة.
يتميز بتصميم حديث وأداء موثوق.","40.3","50.3","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2FashyaatY2YLw2NB.jpg?alt=media&token=979ae5ad-5515-441e-8882-bda866128bb6","https://sooq-jordan.arabsad.com/products/69.html"
"8","مروحة توربو محمولة","مروحة توربو محمولة - منتج عالي الجودة.
يتميز بتصميم حديث وأداء موثوق.","39.3","49.3","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2FashyaatsqRW8UYJ.jpg?alt=media&token=540c6bb0-4725-4ff5-939a-f92aa953b51e","https://sooq-jordan.arabsad.com/products/8.html"
"57","قطعة اضواء على شكل اجنحة للسيارة","قطعة اضواء على شكل اجنحة للسيارة - منتج عالي الجودة.
يتميز بتصميم حديث وأداء موثوق.","39.1","49.1","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2FashyaatefIAM9ON.jpg?alt=media&token=db5a0b0b-2027-4be5-9d80-c55ed7ffa9d1","https://sooq-jordan.arabsad.com/products/57.html"
"63","معطرة هواء على شكل لهب نار","معطرة هواء على شكل لهب نار - منتج عالي الجودة.
يتميز بتصميم حديث وأداء موثوق.","39.1","49.1","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2FashyaatVLQ8Jaes.jpg?alt=media&token=40e3a8ae-8d83-4761-b866-03ba93efc062","https://sooq-jordan.arabsad.com/products/63.html"
"73","مروحة تبريد محمولة","مروحة تبريد محمولة - منتج عالي الجودة.
يتميز بتصميم حديث وأداء موثوق.","39.1","49.1","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2FashyaatTFrkOm4y.png?alt=media&token=80cf0139-aacc-4379-a7be-b65215b2c8b7","https://sooq-jordan.arabsad.com/products/73.html"
"91","شاي الماتشا لانقاص الوزن","شاي الماتشا لانقاص الوزن - منتج عالي الجودة.
يتميز بتصميم حديث وأداء موثوق.","38.5","48.5","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2FashyaatBmtmZBIc.jpg?alt=media&token=d14d0e49-35ac-4e70-99fe-1f34ffa5e8fd","https://sooq-jordan.arabsad.com/products/91.html"
"33","كاميرا تصوير للسيارة امامية وخلفية","كاميرا تصوير للسيارة امامية وخلفية - منتج عالي الجودة.
يتميز بتصميم حديث وأداء موثوق.","38","48","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2FashyaatGclZQvLo.jpg?alt=media&token=00b92f8a-1298-4dab-b1c9-1041dd9ec9ef","https://sooq-jordan.arabsad.com/products/33.html"
"49","علاقة الملابس متعددة الاستخدامات","علاقة الملابس متعددة الاستخدامات - منتج عالي الجودة.
يتميز بتصميم حديث وأداء موثوق.","37.2","47.2","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2FashyaatGDMK0etj.jpg?alt=media&token=f71fdc73-2749-438a-a768-0e8c5107282b","https://sooq-jordan.arabsad.com/products/49.html"
"50","جرس باب بصري لاسلكي من تويا","جرس باب بصري لاسلكي من تويا - منتج عالي الجودة.
يتميز بتصميم حديث وأداء موثوق.","36.8","46.8","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2FashyaatIHXxKXW5.webp?alt=media&token=8bac0600-85c4-4a06-b311-6e0c6807fae6","https://sooq-jordan.arabsad.com/products/50.html"
"55","حقيبة ملاكمة احترافية","حقيبة ملاكمة احترافية - منتج عالي الجودة.
يتميز بتصميم حديث وأداء موثوق.","36.6","46.6","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2FashyaatT1z8FbOd.webp?alt=media&token=78814515-e839-44fe-828a-dbdeda3be87f","https://sooq-jordan.arabsad.com/products/55.html"
"90","كاميرا تسجيل ومراقبة السيارة للحماية من السرقة والحوادث","كاميرا تسجيل ومراقبة السيارة للحماية من السرقة والحوادث - منتج عالي الجودة.
يتميز بتصميم حديث وأداء موثوق.","36.6","46.6","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2Fashyaathh0TiAOf.jpeg?alt=media&token=d24b35e2-7f0e-45ab-b58f-2bb2afb3d3e1","https://sooq-jordan.arabsad.com/products/90.html"
"16","منفاخ هواء تيربو محمول 24 فولت","منفاخ هواء تيربو محمول 24 فولت - منتج عالي الجودة.
يتميز بتصميم حديث وأداء موثوق.","36.5","46.5","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2FashyaatnBKIyUep.jpg?alt=media&token=64fd0313-e602-4e4b-afe1-82193af4bd79","https://sooq-jordan.arabsad.com/products/16.html"
"88","كريم هالو من صوفي كير للهالات السوداء","كريم هالو من صوفي كير للهالات السوداء - منتج عالي الجودة.
يتميز بتصميم حديث وأداء موثوق.","36","46","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2FashyaatoE1vNYCV.png?alt=media&token=cebc13d3-271b-4054-ac8d-2a8d605e956e","https://sooq-jordan.arabsad.com/products/88.html"
"92","مروحة تبريد بشاشة ليد","مروحة تبريد بشاشة ليد - منتج عالي الجودة.
يتميز بتصميم حديث وأداء موثوق.","36","46","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2FashyaatDwky0drb.png?alt=media&token=7a88b8ce-c814-40a3-b08e-7d1db7b6fe55","https://sooq-jordan.arabsad.com/products/92.html"
"5","بروجيكتور إضاءة على شكل بيضة","بروجيكتور إضاءة على شكل بيضة - منتج عالي الجودة.
يتميز بتصميم حديث وأداء موثوق.","35.7","45.7","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2FashyaattS4Y1iHo.jpg?alt=media&token=32d6890d-5b2e-4b3f-b6a4-a742f7ab9d08","https://sooq-jordan.arabsad.com/products/5.html"
"10","مطحنة القهوة من هوب اب","مطحنة القهوة من هوب اب - منتج عالي الجودة.
يتميز بتصميم حديث وأداء موثوق.","35.7","45.7","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2Fashyaatz8ZJxJpX.jpg?alt=media&token=e8da604a-5275-484b-81f4-a3522026801f","https://sooq-jordan.arabsad.com/products/10.html"
"13","مكنسة كهربائية محمولة لتنظيف الأقمشة والأسطح","مكنسة كهربائية محمولة لتنظيف الأقمشة والأسطح - منتج عالي الجودة.
يتميز بتصميم حديث وأداء موثوق.","35.7","45.7","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2FashyaatVhySqRJt.jpg?alt=media&token=38852e34-7e6d-4380-b4eb-91d5a7fb6657","https://sooq-jordan.arabsad.com/products/13.html"
